panel	source_file	record_type	iteration	day1_rho	day7_rho	day14_rho	mean_rho	min_rho	transition_rho	same_transition_programs	statistic	real_value	null_mean	null_q95	empirical_one_sided_p	null_percentile	permutations	deleted_from	deleted_participant	all_days_positive
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	78.0	0.785714285714286	0.607142857142857	0.321428571428571	0.571428571428571	0.321428571428571	0.642857142857143	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	79.0	0.964285714285714	0.964285714285714	0.5	0.80952380952381	0.5	0.75	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	80.0	0.964285714285714	0.321428571428571	0.0714285714285714	0.452380952380952	0.0714285714285714	0.75	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	81.0	0.964285714285714	-0.821428571428571	-0.25	-0.0357142857142857	-0.821428571428571	0.75	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	82.0	0.357142857142857	0.178571428571429	0.357142857142857	0.297619047619048	0.178571428571429	0.535714285714286	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	83.0	0.642857142857143	-0.0357142857142857	0.642857142857143	0.416666666666667	-0.0357142857142857	0.857142857142857	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	84.0	0.75	0.678571428571429	0.107142857142857	0.511904761904762	0.107142857142857	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	85.0	0.75	0.321428571428571	0.178571428571429	0.416666666666667	0.178571428571429	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	86.0	0.714285714285714	0.214285714285714	0.321428571428571	0.416666666666667	0.214285714285714	0.857142857142857	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	87.0	0.464285714285714	0.857142857142857	0.285714285714286	0.535714285714286	0.285714285714286	0.892857142857143	6.0										
